#Number of repeats by family before and after curation
#=============================================================
#repeat family	class	no. before overlap resolving	no. after
rnd-1_family-250	DNA/Kolobok-T2	4	2
rnd-4_family-1279	DNA/TcMar-Tigger	6	4
rnd-6_family-2816	Unknown	2	1
rnd-5_family-216	DNA	5	3
rnd-5_family-672	DNA	4	3
rnd-5_family-6597	Unknown	17	8
rnd-1_family-418	DNA/TcMar-Tc2	5	1
rnd-1_family-226	DNA/PIF-Harbinger	4	4
rnd-5_family-687	DNA	6	2
rnd-1_family-505	DNA	4	3
rnd-5_family-2245	DNA	2	0
rnd-6_family-154	DNA	7	5
rnd-4_family-435	Unknown	9	5
rnd-5_family-864	DNA/hAT-Tip100	9	4
rnd-5_family-508	Unknown	5	4
rnd-5_family-1389	DNA	5	2
rnd-5_family-309	RC/Helitron	10	7
rnd-5_family-1830	DNA/Kolobok-T2	19	13
rnd-1_family-151	DNA	27	19
rnd-4_family-2139	RC/Helitron	23	13
rnd-6_family-5098	Unknown	2	1
rnd-1_family-230	DNA	13	11
rnd-5_family-2668	LTR/Gypsy	3	2
rnd-1_family-807	LTR/Gypsy	2	1
rnd-1_family-885	Unknown	1	1
rnd-1_family-450	Unknown	2	2
rnd-6_family-415	DNA	2	1
rnd-1_family-1108	Unknown	1	1
rnd-1_family-675	Unknown	4	2
rnd-1_family-1053	Unknown	1	0
rnd-6_family-780	DNA/PiggyBac	7	5
rnd-6_family-6665	Unknown	1	0
rnd-1_family-600	Unknown	4	3
rnd-1_family-788	Unknown	2	0
rnd-2_family-13	DNA/Kolobok-T2	33	27
rnd-1_family-427	LTR	4	3
rnd-1_family-41	DNA/Kolobok-T2	37	32
rnd-4_family-689	DNA/hAT-hAT5	15	10
rnd-1_family-365	DNA	10	5
rnd-1_family-395	DNA	7	6
rnd-1_family-76	DNA	2	1
rnd-3_family-354	DNA/TcMar-Tc2	8	6
rnd-1_family-165	SINE/tRNA-L2	5	4
rnd-6_family-1192	Unknown	1	1
rnd-1_family-674	LINE/L2	4	4
rnd-1_family-327	DNA	2	0
rnd-5_family-4362	DNA/PIF-Harbinger	1	0
rnd-5_family-452	Unknown	6	4
rnd-1_family-263	LINE/Penelope	16	12
rnd-1_family-172	DNA	14	13
rnd-1_family-268	DNA/hAT-Tip100	8	7
rnd-1_family-1157	DNA/hAT-Tip100	4	2
rnd-6_family-869	SINE/tRNA-Deu-L2	8	5
rnd-1_family-798	DNA	5	5
rnd-1_family-329	SINE?	2	0
rnd-5_family-2001	DNA	6	4
rnd-1_family-197	DNA	34	29
rnd-1_family-1207	DNA/Kolobok-T2	1	1
rnd-1_family-1201	DNA/Kolobok-T2	1	1
rnd-4_family-25	DNA/Kolobok-T2	2	2
rnd-1_family-328	DNA/PIF-Harbinger	3	2
rnd-1_family-649	Unknown	6	2
rnd-5_family-1165	DNA/Kolobok-T2	1	0
rnd-1_family-140	DNA	9	7
rnd-1_family-180	DNA/hAT-Tip100	7	5
rnd-1_family-444	DNA	7	4
rnd-1_family-216	LINE/Penelope	1	0
rnd-1_family-177	LINE/Penelope	5	4
rnd-1_family-109	DNA/TcMar-Tc2	3	3
rnd-6_family-414	Unknown	4	3
rnd-4_family-101	RC/Helitron	44	1
rnd-5_family-3045	Unknown	1	0
rnd-1_family-1202	LINE/Penelope	1	0
rnd-1_family-401	Unknown	1	0
rnd-5_family-1789	Unknown	1	1
rnd-1_family-493	Unknown	1	1
rnd-1_family-66	DNA/hAT-hAT5	20	10
rnd-6_family-52	DNA	5	4
rnd-1_family-975	DNA	1	0
rnd-5_family-1442	DNA/hAT-Tip100	14	14
rnd-6_family-1646	DNA/hAT-Tip100	8	0
rnd-6_family-629	RC/Helitron	29	23
rnd-1_family-941	DNA	2	1
rnd-1_family-331	DNA	4	4
rnd-4_family-2080	DNA/hAT-Tip100	1	1
rnd-6_family-2594	LINE/Penelope	12	8
rnd-5_family-4314	DNA/Kolobok-T2	28	23
rnd-6_family-522	DNA/Kolobok-T2	2	0
rnd-5_family-428	LINE/Rex-Babar	2	1
rnd-1_family-23	DNA	18	16
rnd-2_family-191	DNA/hAT-hAT5	4	3
rnd-5_family-1333	DNA/TcMar-Tc2	3	3
rnd-1_family-1195	Unknown	4	2
rnd-1_family-701	DNA/TcMar-Tc2	3	2
rnd-5_family-305	DNA/PIF-Harbinger	7	5
rnd-4_family-709	DNA	2	0
rnd-1_family-1072	DNA/Sola-3	1	0
rnd-1_family-10	Satellite	1	1
rnd-1_family-36	RC/Helitron	1	1
rnd-1_family-486	DNA	6	2
rnd-1_family-502	DNA	5	5
rnd-5_family-4	DNA	11	11
rnd-6_family-1645	DNA	2	1
rnd-4_family-868	DNA/PIF-Harbinger	4	4
rnd-1_family-57	DNA/Sola-3	5	3
rnd-4_family-218	DNA	5	5
rnd-1_family-370	DNA	8	6
rnd-4_family-997	DNA	6	0
rnd-1_family-617	DNA	10	0
rnd-1_family-476	DNA	8	8
rnd-1_family-527	DNA	7	3
rnd-1_family-913	LINE/L2	1	1
rnd-1_family-54	DNA/hAT-hAT5	9	9
rnd-1_family-195	SINE/tRNA-Deu	4	3
rnd-4_family-716	DNA	2	2
rnd-4_family-356	DNA/PIF-Harbinger	5	4
rnd-1_family-550	DNA/PIF-Harbinger	6	2
rnd-1_family-239	DNA	12	8
rnd-1_family-45	DNA/PIF-Harbinger	12	12
rnd-1_family-168	DNA/Kolobok-T2	2	2
rnd-1_family-647	DNA	6	3
rnd-5_family-1029	DNA/hAT-hAT5	12	7
rnd-5_family-1840	DNA	7	4
rnd-5_family-7058	DNA/hAT-Tip100	7	6
rnd-1_family-924	Unknown	3	0
rnd-4_family-2701	Unknown	4	3
rnd-4_family-800	Unknown	1	1
rnd-5_family-3836	Unknown	2	2
rnd-6_family-61	snRNA	1	1
rnd-4_family-68	DNA/TcMar-Pogo	6	4
rnd-5_family-9104	DNA/Kolobok-T2	6	2
rnd-5_family-3456	DNA/Kolobok-T2	5	5
rnd-6_family-4163	DNA/Kolobok-T2	2	1
rnd-6_family-5207	Unknown	2	0
rnd-1_family-27	DNA/Kolobok-T2	23	19
rnd-5_family-1158	DNA/Academ-1	2	2
rnd-5_family-4279	DNA/hAT-Blackjack	3	2
rnd-1_family-101	DNA/Sola-3	5	0
rnd-5_family-185	DNA	5	2
rnd-5_family-1794	Unknown	7	2
rnd-1_family-313	DNA	5	4
rnd-1_family-332	DNA	2	2
rnd-5_family-2147	LINE/Penelope	8	5
rnd-1_family-304	Unknown	8	0
rnd-1_family-60	LINE/Penelope	5	4
rnd-6_family-324	DNA/hAT-hAT1	4	2
rnd-5_family-932	DNA	1	1
rnd-1_family-31	Satellite	3	3
rnd-1_family-40	Satellite	2	0
rnd-4_family-275	Unknown	1	1
rnd-6_family-1017	DNA/TcMar-Tc2	24	24
rnd-1_family-414	DNA	7	5
rnd-5_family-406	DNA/TcMar-Tc2	16	11
rnd-4_family-57	DNA	5	3
rnd-1_family-608	DNA	5	4
rnd-1_family-218	DNA	6	5
rnd-1_family-70	DNA/PiggyBac	9	9
rnd-4_family-595	DNA	7	5
rnd-1_family-67	DNA/Kolobok-T2	16	9
rnd-1_family-71	DNA/hAT-Tip100	3	1
rnd-6_family-790	DNA	5	3
rnd-1_family-224	DNA	3	3
rnd-1_family-28	DNA	6	4
rnd-1_family-138	RC/Helitron	4	4
rnd-5_family-4554	RC/Helitron	2	1
rnd-1_family-94	RC/Helitron	5	4
rnd-6_family-2432	DNA/hAT-Tip100	3	3
rnd-1_family-898	DNA	2	0
rnd-1_family-828	DNA	6	4
rnd-6_family-648	DNA/hAT-hAT5	9	6
rnd-1_family-363	DNA	3	0
rnd-5_family-53	DNA	6	3
rnd-5_family-4038	DNA/hAT-Tip100	1	1
rnd-5_family-4039	DNA/hAT-Tip100	1	1
rnd-1_family-364	DNA	6	6
rnd-1_family-717	DNA/Ginger	1	1
rnd-5_family-948	DNA/Ginger	1	1
rnd-1_family-1111	Satellite	1	1
rnd-1_family-1027	SINE/tRNA-Deu	1	0
rnd-1_family-648	DNA/Ginger	1	1
rnd-1_family-504	DNA	4	4
rnd-6_family-3397	DNA/PIF-Harbinger	5	4
rnd-6_family-525	DNA	7	6
rnd-6_family-4441	Unknown	2	1
rnd-1_family-228	DNA	10	6
rnd-1_family-222	DNA	5	3
rnd-1_family-774	DNA	5	4
rnd-5_family-3824	LINE/L2	1	1
rnd-1_family-546	LINE/L2	1	1
rnd-5_family-3644	LINE/L2	1	1
rnd-1_family-967	LINE/L2	1	1
rnd-1_family-1010	LINE/L2	1	1
rnd-1_family-346	DNA/PIF-Harbinger	8	8
rnd-5_family-357	DNA/TcMar-Tc2	3	3
rnd-1_family-857	DNA/TcMar-Tc2	1	0
rnd-1_family-287	DNA/TcMar-Pogo	4	2
rnd-1_family-1046	Unknown	1	1
rnd-4_family-1167	Unknown	1	1
rnd-1_family-133	RC/Helitron	7	5
rnd-1_family-35	RC/Helitron	9	9
rnd-1_family-161	DNA/PIF-Harbinger	9	4
rnd-3_family-95	DNA/PIF-Harbinger	6	3
rnd-5_family-3757	Unknown	2	0
rnd-5_family-79	DNA	11	5
rnd-5_family-3697	Unknown	1	1
rnd-1_family-416	DNA/PIF-Harbinger	7	7
rnd-1_family-783	DNA/PIF-Harbinger	3	3
rnd-5_family-2020	DNA/PIF-Harbinger	5	1
rnd-1_family-580	DNA/PIF-Harbinger	3	1
rnd-1_family-734	DNA	1	0
rnd-5_family-3743	DNA	2	2
rnd-1_family-521	DNA	3	0
rnd-4_family-17	Unknown	2	0
rnd-6_family-1098	DNA	11	5
rnd-1_family-537	DNA	2	1
rnd-1_family-388	DNA	6	6
rnd-5_family-321	DNA/hAT	11	4
rnd-5_family-1139	DNA	2	1
rnd-4_family-10	DNA	4	3
rnd-6_family-500	LINE/CRE	1	1
rnd-1_family-727	DNA	4	2
rnd-1_family-764	DNA	2	0
rnd-1_family-1247	DNA	1	0
rnd-1_family-1000	DNA	1	0
rnd-5_family-2400	DNA	1	0
rnd-4_family-453	Satellite	9	8
rnd-1_family-979	DNA	3	3
rnd-1_family-970	DNA	3	3
rnd-1_family-221	DNA/PIF-Harbinger	10	7
rnd-5_family-910	Unknown	3	2
rnd-2_family-7	DNA/Crypton-H	23	11
rnd-1_family-69	DNA/TcMar-Tc2	22	20
rnd-6_family-891	DNA/MULE-F	7	3
rnd-1_family-1098	DNA	1	1
rnd-5_family-2189	DNA	1	0
rnd-5_family-2238	DNA/Kolobok-T2	6	4
rnd-4_family-31	DNA/CMC-EnSpm	5	4
rnd-5_family-1739	Unknown	1	1
rnd-1_family-605	DNA	1	1
rnd-3_family-204	DNA	13	7
rnd-1_family-359	DNA/PIF-Harbinger	3	1
rnd-1_family-192	DNA/Kolobok-T2	1	1
rnd-1_family-940	Unknown	6	2
rnd-1_family-1190	Unknown	2	0
rnd-6_family-1555	Unknown	2	0
rnd-1_family-881	LTR/Copia	4	3
rnd-5_family-716	DNA	6	0
rnd-5_family-2602	DNA/Academ-1	3	2
rnd-1_family-804	RC/Helitron	2	2
rnd-1_family-513	DNA/PIF-Harbinger	4	3
rnd-1_family-456	Unknown	1	1
rnd-1_family-1141	Unknown	1	1
rnd-1_family-1192	Unknown	2	1
rnd-1_family-361	Unknown	1	1
rnd-4_family-795	DNA/CMC-EnSpm	20	12
rnd-6_family-953	LTR/Gypsy	24	15
rnd-1_family-128	SINE/tRNA-L2	21	0
rnd-1_family-190	DNA	3	1
rnd-1_family-340	DNA	7	3
rnd-6_family-398	Unknown	3	3
rnd-5_family-15	DNA/Kolobok-T2	10	7
rnd-3_family-44	DNA/hAT-hAT5	4	1
rnd-1_family-11	LTR/Gypsy	1	1
rnd-5_family-5347	Unknown	4	4
rnd-6_family-1339	LTR/Gypsy	1	1
rnd-1_family-49	DNA	6	5
rnd-5_family-2442	Unknown	1	1
rnd-1_family-387	DNA	8	8
rnd-5_family-5350	Unknown	3	2
rnd-5_family-973	Unknown	1	0
rnd-5_family-3739	DNA/Academ-1	3	0
rnd-1_family-719	DNA/Academ-1	3	3
rnd-5_family-829	Unknown	3	2
rnd-1_family-911	DNA	7	6
rnd-1_family-883	DNA/PIF-Harbinger	2	1
rnd-1_family-809	DNA/PIF-Harbinger	2	1
rnd-5_family-3327	DNA/PIF-Harbinger	1	0
rnd-4_family-1799	DNA/PIF-Harbinger	3	1
rnd-1_family-115	SINE/tRNA-V	16	9
rnd-5_family-161	Unknown	1	0
rnd-6_family-3734	Unknown	6	4
rnd-6_family-1215	DNA/hAT-Tip100	12	11
rnd-1_family-25	DNA	13	7
rnd-1_family-302	DNA	17	17
rnd-5_family-1112	DNA	7	4
rnd-1_family-799	DNA/PIF-Harbinger	5	5
rnd-1_family-742	DNA/PIF-Harbinger	4	3
rnd-4_family-2425	DNA/PIF-Harbinger	5	4
rnd-4_family-895	LINE/Penelope	1	0
rnd-4_family-3346	DNA/Kolobok-T2	2	2
rnd-1_family-442	Unknown	1	1
rnd-5_family-255	LINE/CR1	2	1
rnd-1_family-490	LTR/Copia	2	2
rnd-1_family-470	LTR/Copia	2	2
rnd-1_family-209	DNA/Academ-2	8	0
rnd-1_family-686	DNA/PIF-Harbinger	9	8
rnd-5_family-1267	LINE/RTE-X	1	1
rnd-5_family-204	DNA/Kolobok-T2	4	2
rnd-1_family-348	DNA	4	3
rnd-1_family-232	DNA/Kolobok-T2	7	6
rnd-1_family-259	DNA/Kolobok-T2	5	4
rnd-4_family-1056	RC/Helitron	6	3
rnd-1_family-155	DNA	9	5
rnd-6_family-845	Unknown	2	1
rnd-1_family-120	DNA/hAT-Blackjack	18	14
rnd-1_family-104	DNA	6	6
rnd-1_family-377	DNA	11	5
rnd-1_family-530	DNA	4	0
rnd-6_family-5205	DNA/Kolobok-Hydra	1	1
rnd-1_family-55	LINE/Penelope	10	4
rnd-1_family-564	DNA/Kolobok	6	4
rnd-1_family-344	DNA	1	0
rnd-1_family-174	DNA	1	0
rnd-1_family-677	LINE/Rex-Babar	2	1
rnd-5_family-484	DNA	3	0
rnd-1_family-598	DNA	6	3
rnd-1_family-666	DNA	6	0
rnd-4_family-781	DNA/hAT-Tip100	12	8
rnd-1_family-389	DNA	6	5
rnd-4_family-450	DNA	4	2
rnd-1_family-473	DNA	1	0
rnd-1_family-934	DNA/PIF-Harbinger	3	0
rnd-1_family-1011	DNA/PIF-Harbinger	4	4
rnd-1_family-317	DNA	8	8
rnd-5_family-1271	DNA/PIF-Harbinger	8	4
rnd-1_family-433	DNA/Academ-2	9	5
rnd-1_family-1135	Unknown	1	0
rnd-5_family-6355	Unknown	1	1
rnd-1_family-236	DNA	6	6
rnd-1_family-866	DNA	3	3
rnd-1_family-191	DNA	4	3
rnd-1_family-277	DNA	6	6
rnd-5_family-7489	DNA	14	10
rnd-1_family-285	DNA/PIF-Harbinger	1	0
rnd-1_family-766	DNA/Kolobok-T2	1	0
rnd-4_family-242	Unknown	6	3
rnd-1_family-382	Unknown	12	6
rnd-1_family-800	Unknown	2	0
rnd-6_family-5672	Unknown	9	5
rnd-1_family-29	DNA	2	2
rnd-1_family-293	Unknown	4	2
rnd-1_family-141	DNA	16	15
rnd-1_family-289	DNA	2	0
rnd-4_family-1680	DNA/Academ-2	2	1
rnd-1_family-876	DNA	4	2
rnd-5_family-2021	DNA	2	0
rnd-1_family-14	DNA	10	7
rnd-6_family-1165	DNA/MULE-MuDR	2	2
rnd-5_family-699	LINE/L2	1	1
rnd-6_family-4610	LINE/L2	2	1
rnd-1_family-1022	LINE/L2	2	2
rnd-1_family-688	LINE/L2	2	2
rnd-4_family-619	DNA	11	8
rnd-5_family-1093	Unknown	9	9
rnd-1_family-1228	Unknown	6	1
rnd-5_family-4838	DNA/PIF-Harbinger	4	4
rnd-1_family-938	RC/Helitron	3	2
rnd-5_family-82	RC/Helitron	1	1
rnd-1_family-214	DNA/hAT-Blackjack	4	3
rnd-1_family-1212	RC/Helitron	1	1
rnd-1_family-943	RC/Helitron	1	1
rnd-1_family-708	RC/Helitron	1	1
rnd-6_family-369	DNA	2	2
rnd-6_family-3735	DNA	1	1
rnd-1_family-143	RC/Helitron	2	1
rnd-5_family-1563	LTR/Pao	1	1
rnd-6_family-1477	LTR/Pao	3	1
rnd-6_family-5120	DNA	3	0
rnd-6_family-1956	DNA	1	1
rnd-1_family-620	LINE/L2	2	2
rnd-1_family-235	Unknown	5	3
rnd-3_family-255	DNA/PIF-Harbinger	4	2
rnd-5_family-1576	DNA	9	8
rnd-1_family-497	Unknown	6	4
rnd-4_family-1428	DNA	3	1
rnd-1_family-127	SINE/tRNA-Deu	10	9
rnd-5_family-4513	Unknown	3	1
rnd-1_family-147	DNA/TcMar-Tc2	1	1
rnd-1_family-205	DNA	10	10
rnd-6_family-934	DNA	1	1
rnd-1_family-75	DNA/PiggyBac	3	1
rnd-1_family-220	RC/Helitron	1	0
rnd-5_family-336	DNA	14	9
rnd-6_family-1897	LINE	3	2
rnd-5_family-2970	Unknown	3	2
rnd-6_family-1990	Unknown	1	1
rnd-5_family-2185	Unknown	1	1
rnd-5_family-1018	DNA	11	9
rnd-1_family-113	DNA	4	2
rnd-1_family-656	Unknown	5	0
rnd-5_family-646	SINE/tRNA-Deu-L2	13	7
rnd-5_family-9647	DNA/PIF-ISL2EU	3	1
rnd-4_family-148	DNA	15	8
rnd-5_family-541	DNA/hAT-Tip100	20	15
rnd-6_family-1303	DNA/PIF-Harbinger	5	3
rnd-5_family-2565	DNA/hAT-hAT5	1	1
rnd-5_family-2951	DNA/CMC-EnSpm	3	2
rnd-1_family-462	LINE/Rex-Babar	2	2
rnd-1_family-87	DNA/hAT-Tip100	6	5
rnd-2_family-88	DNA/hAT-Tip100	5	4
rnd-4_family-580	SINE/tRNA-Deu-L2	2	0
rnd-1_family-130	DNA/PIF-Harbinger	5	4
rnd-1_family-334	DNA/PIF-Harbinger	4	0
rnd-1_family-212	DNA/Academ-2	2	0
rnd-1_family-284	DNA/Academ-2	5	3
rnd-1_family-148	DNA/PIF-Harbinger	10	10
rnd-1_family-409	DNA	9	0
rnd-5_family-3402	Unknown	6	3
rnd-6_family-2734	Unknown	2	1
rnd-5_family-1351	DNA	3	3
rnd-5_family-2118	Unknown	1	1
rnd-1_family-704	DNA/MULE-MuDR	2	0
rnd-1_family-126	DNA	5	3
rnd-1_family-810	Unknown	6	4
rnd-1_family-759	Unknown	5	0
rnd-1_family-837	DNA/Kolobok-T2	3	1
rnd-1_family-770	DNA/Kolobok-T2	1	1
rnd-1_family-636	DNA/Kolobok-T2	2	2
rnd-4_family-1220	DNA/PIF-Harbinger	5	5
rnd-1_family-980	DNA/PIF-Harbinger	1	1
rnd-1_family-186	DNA	2	2
rnd-1_family-137	DNA	2	2
rnd-1_family-17	DNA/Sola	17	7
rnd-6_family-116	DNA/PIF-Harbinger	1	1
rnd-1_family-619	DNA/Kolobok-T2	1	1
rnd-6_family-315	Unknown	4	3
rnd-5_family-58	LINE/RTE-BovB	4	4
rnd-4_family-821	DNA/CMC-EnSpm	1	1
rnd-5_family-1350	Unknown	1	1
rnd-5_family-330	LINE/Penelope	5	3
rnd-6_family-8911	Unknown	3	2
rnd-5_family-2665	Unknown	4	0
rnd-5_family-742	Unknown	2	2
rnd-4_family-622	Unknown	2	2
rnd-1_family-1047	Unknown	2	2
rnd-1_family-434	DNA/PIF-Harbinger	4	2
rnd-1_family-730	LINE/RTE-BovB	2	2
rnd-5_family-3817	LINE/RTE-BovB	4	3
rnd-5_family-304	DNA/PIF-Harbinger	7	2
rnd-1_family-1023	Unknown	2	0
rnd-6_family-4870	Unknown	2	2
rnd-1_family-1081	LINE/Penelope	2	1
rnd-5_family-617	Satellite	28	1
rnd-5_family-449	DNA/Academ-2	2	0
rnd-4_family-767	Unknown	4	0
rnd-1_family-72	DNA/Kolobok-T2	4	4
rnd-1_family-1126	LTR/Ngaro	1	1
rnd-5_family-2275	LTR/DIRS	1	1
rnd-6_family-2526	DNA/PIF-Harbinger	9	5
rnd-1_family-958	LINE/CR1	1	0
rnd-5_family-816	DNA/hAT-Tip100	8	8
rnd-1_family-432	Unknown	11	1
rnd-5_family-257	DNA/hAT-Blackjack	1	1
rnd-1_family-169	DNA	4	1
rnd-5_family-1746	Unknown	4	0
rnd-6_family-723	Unknown	3	2
rnd-5_family-1024	DNA/Kolobok-T2	2	2
rnd-6_family-661	SINE/tRNA-Deu	3	1
rnd-1_family-993	Unknown	2	2
rnd-1_family-125	DNA	4	4
rnd-5_family-1344	Unknown	6	3
rnd-6_family-730	LINE/L1-Tx1	2	1
rnd-1_family-1074	LINE/L1-Tx1	2	2
rnd-5_family-1559	LINE/L2	5	2
rnd-1_family-1239	DNA	2	1
rnd-5_family-4269	DNA	3	2
rnd-1_family-461	Unknown	4	4
rnd-1_family-443	DNA	4	3
rnd-1_family-749	Unknown	2	0
rnd-1_family-457	Unknown	3	1
rnd-1_family-481	DNA	3	3
rnd-1_family-510	DNA	5	2
rnd-4_family-652	DNA	1	0
rnd-5_family-7383	LTR/Pao	1	1
rnd-5_family-1266	LINE/Penelope	2	1
rnd-1_family-569	Unknown	2	2
rnd-1_family-1168	Unknown	1	1
rnd-1_family-850	LTR	2	1
rnd-5_family-1863	DNA/TcMar-Pogo	1	1
rnd-1_family-399	RC/Helitron	2	1
rnd-5_family-1106	DNA	1	0
rnd-1_family-660	DNA/Kolobok-T2	1	0
rnd-5_family-173	SINE/tRNA-Deu-L2	2	2
rnd-1_family-405	DNA/Academ-2	6	0
rnd-5_family-409	DNA/Academ-2	2	1
rnd-5_family-73	Unknown	1	0
rnd-1_family-448	DNA/Academ-1	2	1
rnd-5_family-827	LINE/CR1	2	1
rnd-1_family-743	DNA	2	0
rnd-6_family-2132	Unknown	1	1
rnd-4_family-16	DNA/PiggyBac	4	1
rnd-1_family-73	DNA/PiggyBac	1	0
rnd-1_family-691	Unknown	6	4
rnd-1_family-1038	Unknown	2	0
rnd-1_family-1112	DNA/Kolobok-T2	4	2
rnd-1_family-983	Unknown	5	2
rnd-5_family-1714	Unknown	3	0
rnd-1_family-131	Unknown	4	4
rnd-1_family-407	RC/Helitron	5	3
rnd-1_family-48	rRNA	7	2
rnd-5_family-870	Unknown	13	13
rnd-6_family-2289	DNA	1	1
rnd-1_family-182	RC/Helitron	5	5
rnd-6_family-993	Unknown	3	1
rnd-1_family-201	DNA	5	1
rnd-1_family-853	DNA/Academ-1	2	2
rnd-6_family-2605	Unknown	1	1
rnd-4_family-579	DNA/TcMar-Pogo	4	1
rnd-1_family-455	DNA/Kolobok-T2	2	2
rnd-1_family-3	Satellite	2	2
rnd-1_family-535	Unknown	1	0
rnd-6_family-6231	Unknown	1	1
rnd-4_family-1323	DNA/hAT-Tip100	2	0
rnd-1_family-729	DNA/PIF-Harbinger	5	0
rnd-4_family-1204	DNA/PIF-Harbinger	2	1
rnd-1_family-501	DNA/PIF-Harbinger	4	2
rnd-1_family-210	DNA/PIF-Harbinger	3	1
rnd-1_family-1258	Unknown	1	1
